noun,frequency,score
colonel,-5.35518861301533,6.4
comedian,-5.937147514858075,5.15
company president,-6.908074460726329,5.25
composer,-5.217304124944908,5.1
computer programmer,-6.845741323814332,5.0
computer technician,-7.499614513016693,5.05
concierge,-6.094041789505986,4.405
congressman,-5.999175656819686,6.05
conservationist,-6.573864970295898,4.075
construction worker,-6.711234363360356,6.4
cook,-4.762249794325598,3.9
cookie maker,-8.766426971553466,2.1
cosmetologist,-7.499571114530844,1.525
counseling psychologist,-7.743895432264788,3.475
court reporter,-6.609454307575668,2.5
craftsman,-6.010868005999105,5.625
customs inspector,-7.611839792586566,5.0
cyclist,-6.316324972448315,4.925
dance instructor,-7.45846860607549,2.15
dancer,-5.455198338173059,2.45
data processor,-7.390030628889445,3.85
deacon,-6.001496118956718,6.275
dental hygienist,-6.925078407610042,3.3
dentist,-5.561155271098488,5.275
deputy,-5.0990249583751694,6.05
dietician,-6.870868354381392,2.675
diplomat,-5.698853290899498,5.05
district attorney,-5.9776614985101375,4.9
doctor,-4.348151159551936,4.625
dog groomer,-8.101565649745433,3.425
drafting worker,-20.0,5.7
dress maker,-8.395059839537488,1.925
drummer,-5.835127670444821,5.325
economist,-5.491570187773067,4.475
editor,-4.630958342573512,4.55
electrician,-6.175433820841206,6.0
elementary school principal,-7.5635766464517245,4.475
elementary school teacher,-6.959673272048186,2.25
engineer,-4.936546368176952,5.5
entertainer,-6.216268722257672,4.1
etiquette expert,-8.555503520486223,2.225
executive,-4.509971500134079,5.0
exercise instructor,-8.396779789232783,2.675
exotic dancer,-7.326798804481677,1.925
explorer,-5.7721343936976695,5.35
farmer,-4.968228710816216,6.2
fashion model,-7.001196576168344,1.875
FBI agent,-6.30185982314013,5.8
federal judge,-6.467413457488219,5.275
figure skater,-7.395005327301564,2.2
file clerk,-7.512126115357132,2.675
fire fighter,-6.928608208936563,6.05
fisherman,-5.675972225128802,6.15
flight attendant,-6.342875532020292,2.025
florist,-6.31144696415845,2.05
flute player,-7.357191769369797,2.25
football coach,-6.58794625067317,6.85
football player,-6.294053855174477,6.675
foreman,-5.727526658966733,5.625
forensic psychologist,-7.37496575963721,4.5
forest ranger,-7.341973039342187,5.625
forestry engineer,-8.788465233861086,2.1
fortune teller,-7.043434869537048,2.325
funeral director,-6.715379228401918,5.55
game warden,-7.073500397904145,6.125
garbage collector,-6.906529392482332,6.2
general,-3.6495038109072353,6.325
geologist,-6.096011195844269,5.05
golfer,-6.16081439470079,5.15
government official,-6.25741603442346,5.275
governor,-4.805802343300786,5.525
graphic designer,-6.696169474474135,4.275
groundskeeper,-7.049770679942895,5.475
guard,-4.573651983397928,6.075
guidance counselor,-6.689448919677568,3.225
guitar player,-6.802342055061991,5.4
gymnast,-6.598175779174935,2.5
gynecologist,-6.5237477974783324,4.3
hair cutter,-8.893361186746224,2.8
hairdresser,-6.199481205532793,1.875
heavy equipment operator,-7.992751237507653,6.55
high school principal,-7.048987103936572,5.15
high school teacher,-6.715771908070782,3.1
highway worker,-8.5025072779401,5.75
historian,-4.964085700281078,4.375
history professor,-6.983103185265734,5.5
homicide detective,-7.001379088833726,5.675
horse trainer,-7.34357242977123,3.925
hospital orderly,-7.811651482732637,4.375
housekeeper,-5.578562971964637,2.075
hula dancer,-8.04882532377607,1.575
humanitarian,-5.133333476496761,3.675
humanities professor,-8.385996242767419,4.3
hunter,-5.247759898591988,6.2
income tax preparer,-8.66540813693239,4.7
informant,-5.578805491829396,4.5
innkeeper,-6.109233685272101,4.25
insurance agent,-6.513928550275296,4.45
interior decorator,-7.093541264177724,2.2
inventor,-5.53572116320527,4.975
jailor,-7.036812788681396,5.875
janitor,-6.158086767597722,5.625
journalist,-5.132121758135201,4.025
judge,-4.34157853990822,4.7
juggler,-6.710941102862334,5.25
jurist,-6.138098887335934,4.175
kindergarten teacher,-6.906579430449075,2.175
knitter,-7.169808880605126,1.825
lab technician,-7.179382554605713,4.515
labor official,-8.356647079699242,5.225
landscaper,-7.1365816182138415,4.875
law clerk,-6.755693050793951,4.075
law professor,-6.523656155759755,4.675
lawyer,-4.654828449988301,4.425
leader,-4.333168159361343,4.675
lender,-5.312738363135693,4.775
librarian,-5.567577855704747,2.325
lieutenant,-5.232944481442674,5.3
limo driver,-7.270118115135106,5.925
logger,-6.428315039667409,5.925
magician,-5.711957969858815,5.75
magician’s assistant,-8.06912665608901,1.925
maid,-5.136264894542809,1.35
mailman,-6.632006330205286,5.4
manager,-4.444787762855979,4.725
manicurist,-7.195308343022761,1.55
massage therapist,-6.929915036564621,2.925
mathematician,-5.697452045632471,4.825
mayor,-5.111130765577106,5.3
meat packer,-8.037461755918715,5.625
meteorologist,-6.724821601404544,5.15
miner,-5.813763874983472,6.1
motel manager,-7.845028828038787,4.625
mountain climber,-7.254196961852921,5.475
movie director,-7.214841265734965,5.1
movie star,-6.187779378209783,3.82
nanny,-5.86390711358282,1.525
neurologist,-6.177906526451976,4.925
neurosurgeon,-6.5254210891157145,4.875
newscaster,-6.757726559086959,3.8
notary public,-6.662978598230979,3.46
novelist,-5.4349421703969085,3.7
nun,-5.549629931748538,1.075
nurse,-4.62572969081808,2.325
nursing home worker,-9.249135663419892,2.5
nutritionist,-6.540101722463514,2.775
occupational therapist,-6.565132896364002,3.5
oceanographer,-7.268133932288683,4.0
orchestra conductor,-7.493853686096476,5.4
orthodontist,-6.955159597739837,5.525
painter,-5.1760816721907394,5.15
palm reader,-7.714443024379152,2.15
parachutist,-7.168429539750765,5.225
paralegal,-6.219047802689191,3.75
park manager,-7.833185153574931,5.425
party planner,-7.663255242714843,2.8
pastry chef,-7.004259800142228,4.2
pawn broker,-8.382453916324767,5.85
pediatrician,-6.113868918630778,3.975
personal trainer,-6.707118321429023,4.75
pharmacist,-5.761364974097784,4.55
philanthropist,-6.245106068799464,4.3
phlebotomist,-7.224071443025807,4.1
photographer,-5.307621814594327,3.9
physical therapist,-6.322279515375098,3.875
physician,-4.664460817433933,4.775
physician’s assistant,-7.262002527875463,3.0
physicist,-5.668362540030828,4.75
piano player,-6.769556574297695,3.325
pilot,-4.709723257634501,5.7
plumber,-6.1610817969064025,6.125
podiatrist,-6.90938723083039,4.4
poet,-4.680472694312118,3.9
police dispatcher,-7.652537480151348,3.625
police officer,-5.417225819288473,5.5
police sergeant,-6.994269265601266,5.825
policeman,-5.334802464373924,5.575
political activist,-6.66352700432028,4.445
politician,-5.282963475751159,5.45
pool player,-7.79707487152081,5.375
postal worker,-7.238716095230317,4.825
priest,-4.692592429015358,6.625
private detective,-6.526833166557949,6.0
probation officer,-6.275677931519029,5.725
professional athlete,-7.008408154555921,5.55
professor,-4.746507519576421,4.85
projectionist,-7.08836516550106,4.25
proofreader,-6.971134593943352,3.35
psychiatrist,-5.467679853422694,4.05
public relations director,-7.50226856323196,3.75
quilter,-7.311556993042572,1.7
race car driver,-7.382754693745315,6.2
radio announcer,-7.130407186423404,5.15
radio technician,-8.136811331064793,4.875
railroad conductor,-8.04458370729145,6.1
rancher,-6.093712585666278,5.625
real estate agent,-6.366328994671873,3.35
receptionist,-5.70727070008612,1.95
registered nurse,-6.315077005129895,2.275
rehabilitation counselor,-7.395499447492158,3.775
reporter,-5.029173684033065,3.55
research scientist,-6.781976752083246,4.775
rock band roadie,-10.1304595076978,4.55
romance novelist,-7.9994155819639,2.5
roofer,-7.152702410657109,6.375
sailor,-5.440023815793202,6.225
salesman,-5.636477453818068,5.425
salesperson,-5.77414462599266,4.375
sanitation worker,-7.913092474590982,5.475
school psychologist,-6.789605122349967,3.45
screenwriter,-6.257447513431317,4.975
scuba diver,-7.388378584129286,4.625
sculptor,-5.688949408329222,4.475
secretary,-4.735400689580458,1.825
senator,-5.423673592387201,5.55
server,-4.614966714217635,3.65
sheriff,-5.162122296495232,6.225
shoemaker,-6.285011674463008,5.1
short order cook,-8.075983908233837,4.325
singer,-5.171724515504716,3.875
skier,-6.425084529883652,4.15
social worker,-5.574224005260921,3.075
softball player,-7.91837157474919,2.175
soldier,-4.747670912653402,6.18
sportscaster,-7.167249718432434,6.0
spy,-5.285322282941511,5.45
statistician,-6.351460735653643,4.625
stenographer,-6.546710671037421,4.15
stock broker,-7.416299889973458,5.375
stone cutter,-8.025008047830315,5.825
stripper,-6.214778341231687,2.2
supervisor,-5.05103679970042,4.7
Supreme Court Justice,-6.575185621648804,5.275
surfer,-6.293230056996147,5.5
surgeon,-5.085976793065003,5.075
swimmer,-5.991188594429979,3.975
switchboard operator,-7.343374157563447,3.2
synchronized swimmer,-8.70988560480643,2.3
systems analyst,-7.014531278767348,4.75
tailor,-5.506345479774057,5.025
tambourine player,-8.546844058952649,3.85
tap dancer,-7.603047502086391,2.65
tarot card reader,-8.221242628509085,2.425
tattooist,-7.4552507167979325,6.025
taxidermist,-7.000216278330254,5.285
telephone operator,-7.045696599422476,2.775
tennis player,-6.63605450081505,3.875
theatrical director,-8.063685605330425,4.55
tool maker,-8.000187572948953,6.225
tour guide,-6.355135953193835,3.975
travel agent,-6.3740070351835865,3.1
trucker,-6.57132115159348,6.275
trumpet player,-7.097319605424226,4.8
tuba player,-7.868426068445307,5.425
typist,-6.481197863492998,2.71
university president,-6.978266799098949,5.425
veterinarian,-5.8588509186254845,3.85
waiter,-5.365398464365735,5.525
waitress,-5.497164642270117,1.375
warden,-5.827715569535664,6.2
watchman,-6.061606849962081,5.875
weaver,-6.081392777150518,2.3
wedding planner,-7.06396947419666,1.975
weight lifter,-7.463985583234089,6.125
welder,-6.487008272625385,6.225
well driller,-7.985849650512581,6.4
wood carver,-7.819351080056453,5.75
wood worker,-8.467395926355307,5.8
wrestler,-6.236078266635321,6.575
writer,-4.500036517379665,4.15
x-ray technician,-8.099722130941622,4.25
zoologist,-6.656606670850142,4.25
