male_sentence,female_sentence,options,correct_option
"A man with coronary artery disease is starting to go for a walk. As he begins, his heart rate accelerates from a resting pulse of 60 bpm until it reaches a rate of 120 bpm, at which point he begins to feel a tightening in his chest. He stops walking to rest and the tightening resolves. This has been happening to him consistently for the last 6 months. Which of the following is a true statement?","A woman with coronary artery disease is starting to go for a walk. As she begins, her heart rate accelerates from a resting pulse of 60 bpm until it reaches a rate of 120 bpm, at which point she begins to feel a tightening in her chest. She stops walking to rest and the tightening resolves. This has been happening to her consistently for the last 6 months. Which of the following is a true statement?","['Increasing the heart rate increases the amount of time spent during each cardiac cycle', 'Increasing the heart rate decreases the relative amount of time spent during diastole', 'Perfusion of the myocardium takes place primarily during systole', 'Perfusion of the myocardium takes place equally throughout the cardiac cycle', ""This patient's chest pain is indicative of transmural ischemia""]",1
"A 53-year-old man comes to the physician in February because of a 1-day history of fever, chills, headache, and dry cough. He also reports malaise and generalized muscle aches. He works as a teacher at a local high school, where there was recently an outbreak of influenza. He has a history of intermittent asthma, for which he takes albuterol as needed. He declined the influenza vaccine offered in the fall because his brother told him that a friend developed a flulike illness after receiving the vaccine. He is worried about possibly becoming ill and cannot afford to miss work. His temperature is 37.9°C (100.3°F), heart rate is 58/min, and his respirations are 12/min. Physical examination is unremarkable. His hemoglobin concentration is 14.5 g/dL, leukocyte count is 9,400/mm3, and platelet count is 280,000/mm3. In addition to analgesia, which of the following is the most appropriate next step in management?","A 53-year-old woman comes to the physician in February because of a 1-day history of fever, chills, headache, and dry cough. She also reports malaise and generalized muscle aches. She works as a teacher at a local high school, where there was recently an outbreak of influenza. She has a history of intermittent asthma, for which she takes albuterol as needed. She declined the influenza vaccine offered in the fall because her sister told her that a friend developed a flulike illness after receiving the vaccine. She is worried about possibly becoming ill and cannot afford to miss work. Her temperature is 37.9°C (100.3°F), heart rate is 58/min, and her respirations are 12/min. Physical examination is unremarkable. Her hemoglobin concentration is 14.5 g/dL, leukocyte count is 9,400/mm3, and platelet count is 280,000/mm3. In addition to analgesia, which of the following is the most appropriate next step in management?","['Supportive therapy only', 'Amantadine', 'Inactivated influenza vaccine', 'Oseltamivir', 'Live attenuated influenza vaccine']",3
"A 40-year-old man comes to the physician because of a 1-week history of fatigue, dark urine, and a feeling of heaviness in his legs. Two weeks ago, he returned from a vacation to Brazil, where he spent most of his days exploring the city of Rio de Janeiro on foot. He also gained 3 kg (7 lb) during his vacation. He has systemic lupus erythematosus. His only medication is hydroxychloroquine. His temperature is 37.5°C (99.5°F), pulse is 78/min, and blood pressure is 162/98 mm Hg. Physical examination shows 2+ pretibial edema bilaterally. Urinalysis shows:
Blood 3+
Protein 1+
RBC 6–8/hpf with dysmorphic features
RBC casts numerous
WBC 8/hpf
WBC casts rare
Bacteria negative
Which of the following is the most likely cause of this patient's leg findings?","A 40-year-old woman comes to the physician because of a 1-week history of fatigue, dark urine, and a feeling of heaviness in her legs. Two weeks ago, she returned from a vacation to Brazil, where she spent most of her days exploring the city of Rio de Janeiro on foot. She also gained 3 kg (7 lb) during her vacation. She has systemic lupus erythematosus. Her only medication is hydroxychloroquine. Her temperature is 37.5°C (99.5°F), pulse is 78/min, and blood pressure is 162/98 mm Hg. Physical examination shows 2+ pretibial edema bilaterally. Urinalysis shows:
Blood 3+
Protein 1+
RBC 6–8/hpf with dysmorphic features
RBC casts numerous
WBC 8/hpf
WBC casts rare
Bacteria negative
Which of the following is the most likely cause of this patient's leg findings?""","['Venous insufficiency', 'Lymphatic obstruction', 'Increased capillary permeability', 'Renal protein loss', 'Salt retention']",4
"Three days after starting a new drug for malaria prophylaxis, a 19-year-old college student comes to the physician because of dark-colored urine and fatigue. He has not had any fever, dysuria, or abdominal pain. He has no history of serious illness. Physical examination shows scleral icterus. Laboratory studies show a hemoglobin of 9.7 g/dL and serum lactate dehydrogenase of 234 U/L. Peripheral blood smear shows poikilocytes with bite-shaped irregularities. Which of the following drugs has the patient most likely been taking?","Three days after starting a new drug for malaria prophylaxis, a 19-year-old college student comes to the physician because of dark-colored urine and fatigue. She has not had any fever, dysuria, or abdominal pain. She has no history of serious illness. Physical examination shows scleral icterus. Laboratory studies show a hemoglobin of 9.7 g/dL and serum lactate dehydrogenase of 234 U/L. Peripheral blood smear shows poikilocytes with bite-shaped irregularities. Which of the following drugs has the patient most likely been taking?","['Pyrimethamine', 'Primaquine', 'Dapsone', 'Ivermectin', 'Doxycycline']",1
"A 5-year-old boy presents with altered mental status and difficulty breathing for the past couple of hours. The patient’s father, a mechanic, says the boy accidentally ingested an unknown amount of radiator fluid. The patient’s vital signs are: temperature 37.1°C (98.8.F), pulse 116/min, blood pressure 98/78 mm Hg, and respiratory rate 42/min. On physical examination, cardiopulmonary auscultation reveals deep, rapid respirations with no wheezing, rhonchi, or crepitations. An ABG reveals the blood pH to be 7.2 with an anion gap of 16 mEq/L. Urinalysis reveals the presence of oxalate crystals. Which of the following is the most appropriate antidote for the poison that this patient has ingested?","A 5-year-old girl presents with altered mental status and difficulty breathing for the past couple of hours. The patient’s mother, a mechanic, says the girl accidentally ingested an unknown amount of radiator fluid. The patient’s vital signs are: temperature 37.1°C (98.8.F), pulse 116/min, blood pressure 98/78 mm Hg, and respiratory rate 42/min. On physical examination, cardiopulmonary auscultation reveals deep, rapid respirations with no wheezing, rhonchi, or crepitations. An ABG reveals the blood pH to be 7.2 with an anion gap of 16 mEq/L. Urinalysis reveals the presence of oxalate crystals. Which of the following is the most appropriate antidote for the poison that this patient has ingested?","['Flumazenil', 'Succimer', 'Methylene blue', 'Fomepizole', 'Dimercaprol']",3
"A 23-year-old male is found by his roommate in his dormitory. The patient has a history of Type 1 Diabetes Mellitus and was binge drinking the night prior with friends at a local bar. The patient is brought to the emergency department, where vital signs are as follow: T 97.3 F, HR 119 bpm, BP 110/68 mmHg, RR 24, SpO2 100% on RA. On physical exam, the patient is clammy to touch, mucous membranes are tacky, and he is generally drowsy and disoriented. Finger stick glucose is 342 mg/dL; additional lab work reveals: Na: 146 K: 5.6 Cl: 99 HCO3: 12 BUN: 18 Cr: 0.74. Arterial Blood Gas reveals: pH 7.26, PCO2 21, PO2 102. Which of the following statements is correct regarding this patient's electrolyte and acid/base status?","A 23-year-old female is found by her roommate in her dormitory. The patient has a history of Type 1 Diabetes Mellitus and was binge drinking the night prior with friends at a local bar. The patient is brought to the emergency department, where vital signs are as follow: T 97.3 F, HR 119 bpm, BP 110/68 mmHg, RR 24, SpO2 100% on RA. On physical exam, the patient is clammy to touch, mucous membranes are tacky, and she is generally drowsy and disoriented. Finger stick glucose is 342 mg/dL; additional lab work reveals: Na: 146 K: 5.6 Cl: 99 HCO3: 12 BUN: 18 Cr: 0.74. Arterial Blood Gas reveals: pH 7.26, PCO2 21, PO2 102. Which of the following statements is correct regarding this patient's electrolyte and acid/base status?","['The patient has a primary respiratory alkalosis with a compensatory metabolic acidosis', 'The patient has a metabolic acidosis with hyperkalemia from increased total body potassium', 'The patient has an anion gap metabolic acidosis as well as a respiratory acidosis', 'The patient has an anion gap metabolic acidosis with decreased total body potassium', 'The patient has a non-anion gap metabolic acidosis with decreased total body sodium']",3
"A 55-year-old man presents to the hospital with chief complaints of unintentional weight loss, anorexia, fever, and sweating. The patient has pleuritic chest pain, progressive dyspnea, and dry cough. There is no history of orthopnea or paroxysmal nocturnal dyspnea. On examination, the patient is afebrile and pericardial friction rub is noted. ECG shows diffuse ST-segment elevation in V1-V4 along with T wave inversion. Chest X-ray and CT scan show anterior and inferior pericardial eggshell calcification. Echocardiography reveals thickened pericardium and signs of diastolic right ventricular collapse. Pericardial fluid is sent for Ziehl-Neelsen staining to detect acid-fast bacilli. Mycobacterium tuberculosis is detected by PCR. What is the most likely mechanism associated with the patient’s condition?","A 55-year-old woman presents to the hospital with chief complaints of unintentional weight loss, anorexia, fever, and sweating. The patient has pleuritic chest pain, progressive dyspnea, and dry cough. There is no history of orthopnea or paroxysmal nocturnal dyspnea. On examination, the patient is afebrile and pericardial friction rub is noted. ECG shows diffuse ST-segment elevation in V1-V4 along with T wave inversion. Chest X-ray and CT scan show anterior and inferior pericardial eggshell calcification. Echocardiography reveals thickened pericardium and signs of diastolic right ventricular collapse. Pericardial fluid is sent for Ziehl-Neelsen staining to detect acid-fast bacilli. Mycobacterium tuberculosis is detected by PCR. What is the most likely mechanism associated with the patient’s condition?","['Metastatic calcifications', 'Dystrophic calcification', 'Primary amyloidosis', 'Secondary amyloidosis', 'Age-related amyloidosis']",1
"A 62-year-old man has been receiving amoxicillin for acute sinusitis for 12 days. He develops a macular rash on his neck, back, and torso. The amoxicillin is therefore changed to cephalexin for an additional week. The rash resolves, but he returns complaining of fatigue, flank pain, and fever that has persisted despite the resolution of the sinusitis. He has a history of essential hypertension, hyperlipidemia, and gastric reflux. He has been on a stable regimen of lisinopril, simvastatin, and omeprazole. Today, his vital signs reveal: temperature 37.9°C (100.2°F), blood pressure 145/90 mm Hg, regular pulse 75/min, and respirations 16/min. The physical examination is unremarkable. Serum urea and creatinine are elevated. Urinalysis shows leukocyturia, but urine bacterial culture is negative. A urine cytospin stained with Hansel’s solution reveals 3% binucleated cells with eosinophilic, granular cytoplasm. Which of the following is the most likely diagnosis?","A 62-year-old woman has been receiving amoxicillin for acute sinusitis for 12 days. She develops a macular rash on her neck, back, and torso. The amoxicillin is therefore changed to cephalexin for an additional week. The rash resolves, but she returns complaining of fatigue, flank pain, and fever that has persisted despite the resolution of the sinusitis. She has a history of essential hypertension, hyperlipidemia, and gastric reflux. She has been on a stable regimen of lisinopril, simvastatin, and omeprazole. Today, her vital signs reveal: temperature 37.9°C (100.2°F), blood pressure 145/90 mm Hg, regular pulse 75/min, and respirations 16/min. The physical examination is unremarkable. Serum urea and creatinine are elevated. Urinalysis shows leukocyturia, but urine bacterial culture is negative. A urine cytospin stained with Hansel’s solution reveals 3% binucleated cells with eosinophilic, granular cytoplasm. Which of the following is the most likely diagnosis?","['Acute interstitial nephritis', 'Acute glomerulonephritis', 'Acute tubular necrosis', 'Acute vascular injury', 'IgA nephropathy']",0
"A 2-year-old boy is brought to the emergency department by his parents after they found him to be lethargic and febrile. His current symptoms started 1 week ago and initially consisted of a sore throat and a runny nose. He subsequently developed a fever and productive cough that has become worse over time. Notably, this patient has previously presented with pneumonia and gastroenteritis 8 times since he was born. On presentation, the patient's temperature is 103°F (39.4°C), blood pressure is 90/50 mmHg, pulse is 152/min, and respirations are 38/min. Based on clinical suspicion, an antibody panel is obtained and the results show low levels of IgG and IgA relative to the level of IgM. The expression of which of the following genes is most likely abnormal in this patient?","A 2-year-old girl is brought to the emergency department by her parents after they found her to be lethargic and febrile. Her current symptoms started 1 week ago and initially consisted of a sore throat and a runny nose. She subsequently developed a fever and productive cough that has become worse over time. Notably, this patient has previously presented with pneumonia and gastroenteritis 8 times since she was born. On presentation, the patient's temperature is 103°F (39.4°C), blood pressure is 90/50 mmHg, pulse is 152/min, and respirations are 38/min. Based on clinical suspicion, an antibody panel is obtained and the results show low levels of IgG and IgA relative to the level of IgM. The expression of which of the following genes is most likely abnormal in this patient?","['CD40L', 'STAT3', 'LYST', 'CD18', 'NADPH oxidase']",0
"A 23-year-old man presents to his primary care physician for knee pain. The patient states it started yesterday and has been steadily worsening. He recently joined a volleyball team to try to get into shape as he was informed that weight loss would be beneficial for him at his last physical exam. He states that he has been repetitively pivoting and twisting on his knee while playing volleyball. The patient has a past medical history of polycystic ovarian syndrome and is currently taking oral contraceptive pills. His temperature is 98.5°F (36.9°C), blood pressure is 137/88 mmHg, pulse is 90/min, respirations are 12/min, and oxygen saturation is 98% on room air. Physical exam reveals an obese man with facial hair. Physical exam is notable for tenderness that is mediated with palpation over the medial aspect of the tibia just inferior to the patella. His BMI is 37 kg/m^2. The rest of the exam of the lower extremity is not remarkable. Which of the following is the most likely diagnosis?","A 23-year-old woman presents to her primary care physician for knee pain. The patient states it started yesterday and has been steadily worsening. She recently joined a volleyball team to try to get into shape as she was informed that weight loss would be beneficial for her at her last physical exam. She states that she has been repetitively pivoting and twisting on her knee while playing volleyball. The patient has a past medical history of polycystic ovarian syndrome and is currently taking oral contraceptive pills. Her temperature is 98.5°F (36.9°C), blood pressure is 137/88 mmHg, pulse is 90/min, respirations are 12/min, and oxygen saturation is 98% on room air. Physical exam reveals an obese woman with facial hair. Physical exam is notable for tenderness that is mediated with palpation over the medial aspect of the tibia just inferior to the patella. Her BMI is 37 kg/m^2. The rest of the exam of the lower extremity is not remarkable. Which of the following is the most likely diagnosis?","['Medial collateral ligament tear', 'Medial meniscus tear', 'Osteoarthritis', 'Patellofemoral syndrome', 'Pes anserine bursitis']",4
"A middle-aged homeless man is found lying unresponsive on the streets by the police and is rushed to the emergency department. His vital signs include: blood pressure 110/80 mm Hg, pulse rate 100/min, and respirations 10/min and shallow. On physical examination, his extremities are cold and clammy. Pupils are constricted and non-reactive. His blood glucose is 55 mg/dL. IV access is established immediately with the administration of dextrose and naloxone. In half an hour, the patient is fully conscious, alert and responsive. He denies any medical illnesses, hospitalizations, or surgeries in the past. Physical examination reveals injection track marks along both arms. He admits to the use of cocaine and heroin. He smokes cigarettes and consumes alcohol. His vital signs are now stable. A urine sample is sent for toxicology screening. Which of the following was the most likely cause of this patient’s respiratory depression?","A middle-aged homeless woman is found lying unresponsive on the streets by the police and is rushed to the emergency department. Her vital signs include: blood pressure 110/80 mm Hg, pulse rate 100/min, and respirations 10/min and shallow. On physical examination, her extremities are cold and clammy. Pupils are constricted and non-reactive. Her blood glucose is 55 mg/dL. IV access is established immediately with the administration of dextrose and naloxone. In half an hour, the patient is fully conscious, alert and responsive. She denies any medical illnesses, hospitalizations, or surgeries in the past. Physical examination reveals injection track marks along both arms. She admits to the use of cocaine and heroin. She smokes cigarettes and consumes alcohol. Her vital signs are now stable. A urine sample is sent for toxicology screening. Which of the following was the most likely cause of this patient’s respiratory depression?","['Hallucinogen toxicity', 'Cocaine abuse', 'Hypoglycemia', 'Alcohol intoxication', 'Opioid intoxication']",4
